MINI, 2, CG, 2, 4, 819, 1.880125e+00, 1.136544e-02
MINI, 2, CG, 2, 8, 3171, 2.724950e-01, 7.145987e-03
MINI, 2, CG, 2, 16, 12483, 1.044245e+00, 3.816358e-03
MINI, 2, CG, 2, 32, 49539, 4.725019e+00, 1.738550e-03
MINI, 2, CG, 2, 64, 197379, 2.424931e+01, 7.027321e-04
MINI, 1, CG, 1, 4, 251, 7.619180e-01, 2.298017e-02
MINI, 2, CG, 2, 4, 819, 1.527010e-01, 1.136544e-02
MINI, 3, CG, 3, 4, 1707, 3.877518e+00, 1.124458e-02
MINI, 1, CG, 1, 8, 947, 8.371200e-02, 8.328224e-03
MINI, 2, CG, 2, 8, 3171, 3.044030e-01, 7.145987e-03
MINI, 3, CG, 3, 8, 6675, 9.572780e-01, 7.370733e-03
MINI, 1, CG, 1, 16, 3683, 2.074650e-01, 2.612220e-03
MINI, 2, CG, 2, 16, 12483, 1.054859e+00, 3.816358e-03
MINI, 3, CG, 3, 16, 26403, 3.827750e+00, 3.918962e-03
MINI, 1, CG, 1, 32, 14531, 6.669600e-01, 7.701226e-04
MINI, 2, CG, 2, 32, 49539, 4.772751e+00, 1.738550e-03
MINI, 3, CG, 3, 32, 105027, 1.530751e+01, 1.765487e-03
MINI, 1, CG, 1, 64, 57731, 2.673041e+00, 2.197870e-04
MINI, 2, CG, 2, 64, 197379, 2.409793e+01, 7.027321e-04
MINI, 3, CG, 3, 64, 418947, 6.069724e+01, 4.872131e+27
MINI, 1, CG, 1, 128, 230147, 1.113046e+01, 6.149836e-05
MINI, 2, CG, 2, 128, 787971, 1.378827e+02, 2.609043e-04
MINI, 3, CG, 3, 128, 1673475, 4.256074e+02, 2.609209e-04
