MINI, 1, CG, 1, 4, 251, 6.277540e-01, 2.781386e-02
MINI, 2, CG, 2, 4, 819, 1.475362e+00, 5.451940e-04
MINI, 1, CG, 1, 8, 947, 5.497100e-02, 8.490649e-03
MINI, 2, CG, 2, 8, 3171, 1.284260e-01, 3.427894e-04
MINI, 1, CG, 1, 16, 3683, 1.134550e-01, 2.528377e-03
MINI, 2, CG, 2, 16, 12483, 6.296350e-01, 2.103477e-04
MINI, 1, CG, 1, 32, 14531, 4.749560e-01, 7.327113e-04
MINI, 2, CG, 2, 32, 49539, 4.283829e+00, 1.038942e-04
MINI, 1, CG, 1, 64, 57731, 2.745701e+00, 2.082767e-04
MINI, 2, CG, 2, 64, 197379, 2.520075e+01, 4.390506e-05
MINI, 1, CG, 1, 128, 230147, 2.009163e+01, 5.834238e-05
MINI, 2, CG, 2, 128, 787971, 1.967583e+02, 1.674054e-05
